Title,Calories,Proteins,Fats,Carbohydrates
крылатые бобы спаржевый горох квадратный горох зрелые вареные вареная без соли,147,10.62,5.84,14.94
крылатые бобы спаржевый горох квадратный горох зрелые вареные с солью,147,10.62,5.84,14.94
крылатые бобы спаржевый горох квадратный горох клубни сырые,148,11.6,0.9,28.1
крылатые бобы спаржевый горох квадратный горох листья сырые,74,5.85,1.1,14.1
крылатые бобы спаржевый горох квадратный горох незрелые,49,6.95,0.87,4.31
крылатые бобы спаржевый горох квадратный горох незрелые вареные без соли,38,5.31,0.66,3.21
крылатые бобы спаржевый горох квадратный горох незрелые вареные с солью,37,5.31,0.66,3.21
кукуруза желтая консервированная промытая водой,64,2.18,1.43,11.32
лимская фасоль фордхук незрелая замороженная,106,6.4,0.35,14.33
лимская фасоль фордхук незрелая замороженная вареная без соли,103,06.07,0.34,14.02
лимская фасоль фордхук незрелая замороженная вареная с солью,103,06.07,0.34,14.02
лимская фасоль крупная зрелая,338,21.46,0.69,44.38
лимская фасоль крупная зрелая вареная без соли,115,7.8,0.38,13.88
лимская фасоль крупная зрелая вареная с солью,115,7.8,0.38,13.88
лимская фасоль крупная зрелая консервированная,79,4.93,0.17,10.11
лимская фасоль мелкая зрелая,335,20.62,0.93,42.23
лимская фасоль мелкая зрелая вареная без соли,126,08.04,0.38,15.61
лимская фасоль мелкая зрелая вареная с солью,126,08.04,0.38,15.61
лимская фасоль мелкая незрелая замороженная,132,7.59,0.44,19.14
лимская фасоль мелкая незрелая замороженная вареная без соли,105,6.65,0.3,14.65
лимская фасоль мелкая незрелая замороженная вареная с солью,105,6.65,0.3,14.65
лимская фасоль незрелая,113,6.84,0.86,15.27
лимская фасоль незрелая вареная без соли,123,6.81,0.32,18.24
лимская фасоль незрелая вареная с солью,123,6.81,0.32,18.34
лимская фасоль незрелая консервированная,71,04.07,0.29,9.73
лимская фасоль незрелая консервированная без соли,71,04.07,0.29,9.73
лобия гиацинтовые бобы египетские бобы зрелые,344,23.9,1.69,35.14
лобия гиацинтовые бобы египетские бобы зрелые вареные без соли,117,8.14,0.58,20.69
лобия гиацинтовые бобы египетские бобы зрелые вареные с солью,117,8.14,0.58,20.7
лобия гиацинтовые бобы египетские бобы незрелые,46,2.1,0.2,5.89
лобия гиацинтовые бобы египетские бобы незрелые вареные без соли,50,2.95,0.27,9.2
лобия гиацинтовые бобы египетские бобы незрелые вареные с солью,50,2.95,0.27,9.2
люпин волчий боб зрелые семена,371,36.17,9.74,21.47
люпин волчий боб зрелые семена вареные без соли,119,15.57,2.92,07.08
люпин волчий боб зрелые семена вареные с солью,116,15.57,2.92,6.49
маш бобы мунг,300,23.5,2,46
маш бобы мунг,347,23.86,1.15,46.32
маш бобы мунг проросшие семена вареные с солью,19,02.03,0.09,2.8
маш бобы мунг проросшие семена консервированные сухой продукт без маринада,12,1.4,0.06,1.34
маш бобы мунг вареные с доб соли,105,07.02,0.38,11.55
маш бобы мунг проросшие вареные без соли,21,02.03,0.09,3.39
маш бобы мунг проросшие жареные,50,4.3,0.21,8.69
маш бобы мунг проросшие сырые,30,03.04,0.18,4.14
маш красный фасоль адзуки зрелые семена,329,19.87,0.53,50.2
маш красный фасоль адзуки зрелые семена вареный без соли,128,7.52,0.1,17.47
маш красный фасоль адзуки зрелые семена вареный с солью,128,7.52,0.1,17.47
маш красный фасоль адзуки зрелые семена консервированный подслащенный,237,3.8,0.03,55.01
маш чёрный урд или маи,341,25.21,1.64,40.69
маш чёрный урд или маи вареный без соли,105,7.54,0.55,11.94
мисо,198,12.79,06.01,19.97
натто сброженные соевые бобы,211,19.4,11,7.28
нут турецкий горох,378,20.47,06.04,50.75
нут турецкий горох,309,20.1,4.32,46.16
нут турецкий горох вареный без соли,164,8.86,2.59,19.82
нут турецкий горох вареный с солью,164,8.86,2.59,19.82
нут турецкий горох консервированный,88,4.92,1.95,09.09
нут турецкий горох консервированный промытый водой,138,07.04,2.47,16.57
нут турецкий горох консервированный с пониженным содержанием натрия,88,4.92,1.95,09.09
нут турецкий горох консервированный содержимое без жидкости,139,07.05,2.77,16.13
нутовая мука,387,22.39,6.69,47.02
пападам тонкая лепёшка из чечевичной муки,371,25.56,3.25,41.27
пюре из бобов мексиканская кухня консервированное,90,4.98,02.01,9.85
пюре из бобов мексиканская кухня консервированное вегетарианское,83,5.28,0.87,8.8
пюре из бобов мексиканская кухня консервированное обезжиренное,79,5.34,0.45,8.8
сарделька сосиска из бобового заменителя мяса,233,19.61,13.73,3.8
смесь бобовых кукуруза лимская фасоль горох зеленые бобы морковь консервированная без добавления соли,37,1.4,0.2,4.21
соевая вермишель,331,0.1,0.1,78.42
соевая мука необезжиренная,385,36.5,18.6,17.9
соевая мука обезжиренная,291,48.9,1,21.7
соевая мука полуобезжиренная,334,43,9.5,19.1
соевая мука необезжиренная поджаренная,439,38.09,21.86,20.68
соевая мука необезжиренная сырая,434,37.81,20.65,22.32
соевая мука низкожирная,372,49.81,8.9,14.63
соевая мука обезжиренная,327,51.46,1.22,16.42
соевое молоко маложирное с доб кальция витаминов a и d,43,1.65,0.62,6.4
соевое молоко натуральное и ванильное легкое неподслащенное с доб кальция витаминов a и d,34,2.62,0.85,3.25
соевое молоко натуральное и ванильное легкое с доб кальция витаминов a и d,30,2.38,0.77,3.21
соевое молоко натуральное и ванильное необогащенное,54,3.27,1.75,5.68
соевое молоко натуральное и ванильное с доб кальция витаминов a и d,43,2.6,1.47,4.72
соевое молоко неподслащенное с доб кальция витаминов a и d,33,2.86,1.61,1.24
соевое молоко обезжиренное с доб кальция витаминов a и d,28,2.47,0.04,3.94
соевое молоко обогащенное витаминами а с е d b1 в6 рр калием кальцием,45,2.94,1.99,03.05
соевое молоко шоколадное и другие вкусы легкое с доб кальция витаминов a и d,47,2.1,0.64,7.54
соевое молоко шоколадное необогащенное,63,2.26,1.53,9.55
соевое молоко шоколадное обезжиренное с доб кальция витаминов a и d,44,2.47,0.04,8.31
соевое молоко шоколадное с доб кальция витаминов a и d,63,2.26,1.53,9.55
соевые бобы зеленые,147,12.95,6.8,6.85
соевые бобы зеленые вареные без соли,141,12.35,6.4,6.85
соевые бобы зеленые вареные с солью,141,12.35,6.4,6.85
соевые бобы зрелые,446,36.49,19.94,20.86
соевые бобы зрелые вареные без доб соли,172,18.21,8.97,2.36
соевые бобы зрелые вареные с доб соли,172,18.21,8.97,2.36
соевые бобы зрелые поджаренные без масла,449,43.32,21.62,20.88
соевые бобы зрелые поджаренные без доб соли,469,38.55,25.4,12.52
соевые бобы зрелые поджаренные с доб соли,469,38.55,25.4,12.52
соевые бобы спелые проросшие семена жаренные,125,13.1,7.1,8.6
соевые бобы спелые проросшие семена жаренные с солью,125,13.1,7.1,8.6
соевые бобы спелые проросшие семена приготовленные на пару,81,8.47,4.45,5.73
соевые бобы спелые проросшие семена приготовленные на пару с солью,81,8.47,4.45,5.73
соевые бобы спелые проросшие семена сырые,122,13.09,6.7,8.47
соевый жмых обезжиренный,337,49.2,2.39,35.89
соевый протеиновый изолят,335,88.32,3.39,0
соевый протеиновый концентрат технология спиртовой экстракции,328,63.63,0.46,19.91
соевый творог,151,12.5,8.1,6.9
соя зерно,364,36.7,17.8,17.3
спаржевая фасоль вигна,47,2.8,0.4,8.35
спаржевая фасоль вигна вареная без соли,47,2.53,0.1,9.18
спаржевая фасоль вигна вареная с солью,47,2.53,0.1,9.17
спаржевая фасоль вигна зрелые семена,347,24.33,1.31,50.91
спаржевая фасоль вигна зрелые семена вареная с солью,118,8.29,0.45,17.29
спаржевая фасоль вигна зрелые семена вареная без соли,118,8.29,0.45,17.29
спред для сэндвичей из заменителя мяса,149,8,9,5.7
суккоташ смесь кукурузы и лимской фасоли вареная без соли,115,05.07,0.8,19.88
суккоташ смесь кукурузы и лимской фасоли вареная с солью,111,05.07,0.8,24.37
суккоташ смесь кукурузы и лимской фасоли замороженная,93,4.31,0.89,15.94
суккоташ смесь кукурузы и лимской фасоли замороженная вареная без соли,93,4.31,0.89,15.85
суккоташ смесь кукурузы и лимской фасоли замороженная вареная с солью,93,4.31,0.89,15.85
суккоташ смесь кукурузы и лимской фасоли с раздавленными зарнами кукурузы консервированная,77,2.64,0.54,14.61
суккоташ смесь кукурузы и лимской фасоли с цельными зарнами кукурузы консервированная,63,2.6,0.49,11.38
суккоташ смесь кукурузы и лимской фасоли сырая,99,05.03,01.02,15.79
темпе,192,20.29,10.8,7.64
темпе приготовленный,195,19.91,11.38,7.62
тофу йогурт,94,3.5,1.8,15.76
тофу ферментированный fuyu,116,8.92,8,4.38
тофу ферментированный fuyu приготовленный с сульфатом кальция,116,8.15,8,5.15
тофу жареный,270,18.82,20.18,4.96
тофу жареный приготовлен с сульфатом кальция,270,18.82,20.18,4.96
тофу мягкий приготовленный с сульфатом кальция и хлоридом магния нигари,61,7.17,3.69,0.98
тофу окара соевый жмых,76,3.52,1.73,12.23
тофу плотый приготовленный с сульфатом кальция и хлоридом магния нигари,78,09.04,4.17,1.95
тофу сушенозамороженный коядофу,477,52.47,30.34,2.83
тофу сушенозамороженный коядофу приготовленный с сульфатом кальция,470,52.43,30.34,7.1
тофу сырой обычный 8% белка приготовленный с сульфатом кальция,76,08.08,4.78,1.57
тофу сырой твёрдый приготовленный с сульфатом кальция,144,17.27,8.72,0.48
тофу твёрдый 10% белка приготовленный с сульфатом кальция и хлоридом магния нигари,83,9.98,5.26,0.18
тофу твердый 127% белка приготовленный с сульфатом кальция и хлоридом магния нигари,145,12.68,9.99,3.79
фалафель домашнего приготовления,333,13.31,17.8,31.84
фасолевый отвар изпод тушеной фасоли кидни,47,1.8,3.2,2.7
фасоль белая великие северные бобы зрелая,339,21.86,1.14,42.17
фасоль белая великие северные бобы зрелая вареная без соли,118,8.33,0.45,14.09
фасоль белая великие северные бобы зрелая вареная с солью,118,8.33,0.45,14.09
фасоль белая великие северные бобы зрелая консервированная,114,7.37,0.39,16.12
фасоль белая великие северные бобы зрелая консервированная с пониженным содержанием натрия,114,7.37,0.39,16.12
фасоль белая нэви зрелые семена,337,22.33,1.5,45.45
фасоль белая нэви зрелые семена вареная без доб соли,140,8.23,0.62,15.55
фасоль белая нэви зрелые семена вареная с доб соли,140,8.23,0.62,15.55
фасоль белая нэви зрелые семена консервированная,113,7.53,0.43,15.35
фасоль белая нэви проросшая,67,6.15,0.7,13.05
фасоль белая нэви проросшая вареная без соли,78,07.07,0.81,15.01
фасоль белая нэви проросшая вареная с солью,78,07.07,0.81,15.01
фасоль белая зрелые семена,333,23.36,0.85,45.07
фасоль белая зрелые семена вареная без соли,139,9.73,0.35,18.79
фасоль белая зрелые семена вареная с солью,139,9.73,0.35,18.79
фасоль белая зрелые семена консервированная,114,7.26,0.29,16.4
фасоль белая мелкая зрелые семена,336,21.11,1.18,37.35
фасоль белая мелкая зрелые семена вареная без соли,142,8.97,0.64,15.41
фасоль белая мелкая зрелые семена вареная с солью,142,8.97,0.64,15.41
фасоль желтая зрелые семена,345,22,2.6,35.6
фасоль желтая зрелые семена вареная без соли,144,9.16,01.08,14.88
фасоль желтая зрелые семена вареная с солью,144,9.16,01.08,14.88
фасоль кидни красная зрелая,337,22.53,01.06,46.09
фасоль кидни красная зрелая вареная без соли,127,8.67,0.5,15.4
фасоль кидни красная зрелая вареная с солью,127,8.67,0.5,15.4
фасоль кидни красная зрелая консервированная,81,5.22,0.36,10.53
фасоль кидни красная зрелая консервированная с пониженным содержанием натрия,81,5.22,0.36,9.53
